"Source" "IslandID" "TaxonOrig" "GenusL69" "SpeciesL69" "SubspL69" "SpeciesID" "SubspID" "Sex" "Plumage" "BodyL" "WingL" "TailL" "BeakW" "BeakH" "LBeakL" "UBeakL" "N.UBkL" "TarsusL" "MToeL"
"Snodgrass & Heller (1904)" "Flor_Chrl" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "F" NA 120 58.5 38 6 7.3 5.5 11.3 "7" 19 NA
"Snodgrass & Heller (1904)" "Flor_Chrl" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "F" NA 110 60 35 6 7 5.5 11.5 "7" 20 NA
"Snodgrass & Heller (1904)" "SCris_Chat" "Geospiza prosthemelas salvini" "Camarhynchus" "parvulus" "salvini" "Cam.par" "Cam.par.sal" "M" NA 125 66 40 6.7 8.5 6 12 "7.3" 21.5 NA
"Snodgrass & Heller (1904)" "SCris_Chat" "Geospiza prosthemelas salvini" "Camarhynchus" "parvulus" "salvini" "Cam.par" "Cam.par.sal" "M" NA 123 69 40 7 9.3 6 12.5 "8.3" 21.5 NA
"Snodgrass & Heller (1904)" "SCris_Chat" "Geospiza prosthemelas salvini" "Camarhynchus" "parvulus" "salvini" "Cam.par" "Cam.par.sal" "M" NA 122 62 39 6.5 8 6.5 13 "8.5" 21 NA
"Snodgrass & Heller (1904)" "SCris_Chat" "Geospiza prosthemelas salvini" "Camarhynchus" "parvulus" "salvini" "Cam.par" "Cam.par.sal" "M" NA 124 63 39 6.7 8.7 6.3 12.5 "8" 21.3 NA
"Snodgrass & Heller (1904)" "SCris_Chat" "Geospiza prosthemelas salvini" "Camarhynchus" "parvulus" "salvini" "Cam.par" "Cam.par.sal" "F" NA 115 59 35 6.3 8 6 11 "7" 20.5 NA
"Snodgrass & Heller (1904)" "SCris_Chat" "Geospiza prosthemelas salvini" "Camarhynchus" "parvulus" "salvini" "Cam.par" "Cam.par.sal" "F" NA 122 62 37 NA NA 6.3 12 "8.5" 20.5 NA
"Snodgrass & Heller (1904)" "Flor_Chrl" "Geospiza paupera " "Camarhynchus" "pauper" "" "Cam.pau" "Cam.pau" "M" NA 135 69 47 7 9.5 7.3 14 "9.5" 21 NA
"Snodgrass & Heller (1904)" "Flor_Chrl" "Geospiza paupera " "Camarhynchus" "pauper" "" "Cam.pau" "Cam.pau" "M" NA 118 70 39 7 9 6.3 13.3 "8.5" 22 NA
"Snodgrass & Heller (1904)" "Pnt_Abng" "Geospiza habeli " "Camarhynchus" "psittacula" "habeli" "Cam.psi" "Cam.psi.hab" "M" NA 130 71 39 8.5 11 8.5 16 "10.5" 22 NA
"Snodgrass & Heller (1904)" "Mrch_Bndl" "Geospiza habeli " "Camarhynchus" "psittacula" "habeli" "Cam.psi" "Cam.psi.hab" "M" NA 140 69 44.5 8.3 11 8 16 "10.7" 23 NA
"Snodgrass & Heller (1904)" "Mrch_Bndl" "Geospiza habeli " "Camarhynchus" "psittacula" "habeli" "Cam.psi" "Cam.psi.hab" "F" NA 144 73 46 8 10.5 7.7 16.5 "10.3" 21.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza affinis " "Camarhynchus" "psittacula" "affinis" "Cam.psi" "Cam.psi.aff" "M" NA 127 66 40 8 10.5 6.5 12 "8.5" 22 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza affinis " "Camarhynchus" "psittacula" "affinis" "Cam.psi" "Cam.psi.aff" "M" NA 127 69 47 8 10 6.5 14 "9.3" 24 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza affinis " "Camarhynchus" "psittacula" "affinis" "Cam.psi" "Cam.psi.aff" "M" NA 130 67 42 7.7 10 6.3 13 "8.5" 20 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza affinis " "Camarhynchus" "psittacula" "affinis" "Cam.psi" "Cam.psi.aff" "M" NA 130 69 40 7.7 10.5 7 13.7 "9" 21.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza affinis " "Camarhynchus" "psittacula" "affinis" "Cam.psi" "Cam.psi.aff" "M" NA 120 68 44 7.3 9 6.3 13 "8" 20.5 NA
"Snodgrass & Heller (1904)" "Snti_Jams" "Geospiza psittacula psittacula" "Camarhynchus" "psittacula" "psittacula" "Cam.psi" "Cam.psi.psi" "M" NA 130 74 44 9 11.5 7.7 16 "10" 22.7 NA
"Snodgrass & Heller (1904)" "Snti_Jams" "Geospiza psittacula psittacula" "Camarhynchus" "psittacula" "psittacula" "Cam.psi" "Cam.psi.psi" "M" NA 125 75 45 8.5 12 8 16 "10.7" 24 NA
"Snodgrass & Heller (1904)" "SFe_Brngt" "Geospiza psittacula psittacula" "Camarhynchus" "psittacula" "psittacula" "Cam.psi" "Cam.psi.psi" "M" NA 129 69 40 8 12 7.3 15 "10" 22 NA
